CODIGO;CODIGO_BARRA_PRODUTO;DESCRICAO_PRODUTO;PRECO_VENDA_PRODUTO
1;7890000000017;ROUND CORSE    CORSE WITH QID - S+    1050    cc;28
2;7890000000024;ROUND CORSE    CORSE WITH QID - S+    180    cc;1
3;7890000000031;ROUND CORSE    CORSE WITH QID - S+    210    cc;1
4;7890000000048;ROUND CORSE    CORSE WITH QID - S+    240    cc;1
5;7890000000055;ROUND CORSE    CORSE WITH QID - S+    260    cc;1
6;7890000000062;ROUND CORSE    CORSE WITH QID - S+    280    cc;1
7;7890000000079;ROUND CORSE    CORSE WITH QID - S+    300    cc;1
8;7890000000086;CALCA JEANS;150
9;7890000000093;ROUND CORSE    CORSE WITH QID - S+    350    cc;1
10;7890000000109;ROUND CORSE    CORSE WITH QID - S+    380    cc;1
11;7890000000116;ROUND CORSE    CORSE WITH QID - S+    410    cc;1
12;7890000000123;ROUND CORSE    CORSE WITH QID - S+    440    cc;1
13;7890000000130;ROUND CORSE    CORSE WITH QID - S+    475    cc;1
14;7890000000147;ROUND CORSE    CORSE WITH QID - S+    510    cc;1
15;7890000000154;ROUND CORSE    CORSE WITH QID - S+    550    cc;1
16;7890000000161;ROUND CORSE    CORSE WITH QID - S+    590    cc;1
17;7890000000178;ROUND CORSE    CORSE WITH QID - S+    650    cc;1
18;7890000000185;ROUND CORSE    CORSE WITH QID - S+    725    cc;1
19;7890000000192;ROUND CORSE    CORSE WITH QID - S+    825    cc;1
20;7890000000208;ROUND CORSE    CORSE WITH QID - S+    925    cc;1
21;7890000000215;ROUND DEMI    DEMI WITH QID  - S+    135    cc;1
22;7890000000222;ROUND DEMI    DEMI WITH QID  - S+    155    cc;1
23;7890000000239;ROUND DEMI    DEMI WITH QID  - S+    180    cc;1
24;7890000000246;ROUND DEMI    DEMI WITH QID  - S+    190    cc;1
25;7890000000253;ROUND DEMI    DEMI WITH QID  - S+    205    cc;1
26;7890000000260;ROUND DEMI    DEMI WITH QID  - S+    215    cc;1
27;7890000000277;ROUND DEMI    DEMI WITH QID  - S+    230    cc;1
28;7890000000284;ROUND DEMI    DEMI WITH QID  - S+    245    cc;1
29;7890000000291;ROUND DEMI    DEMI WITH QID  - S+    265    cc;1
30;7890000000307;ROUND DEMI    DEMI WITH QID  - S+    285    cc;1
31;7890000000314;ROUND DEMI    DEMI WITH QID  - S+    300    cc;1
32;7890000000321;ROUND DEMI    DEMI WITH QID  - S+    320    cc;1
33;7890000000338;ROUND DEMI    DEMI WITH QID  - S+    340    cc;1
34;7890000000345;ROUND DEMI    DEMI WITH QID  - S+    360    cc;1
35;7890000000352;ROUND DEMI    DEMI WITH QID  - S+    380    cc;1
36;7890000000369;ROUND DEMI    DEMI WITH QID  - S+    425    cc;1
37;7890000000376;ROUND DEMI    DEMI WITH QID  - S+    475    cc;1
38;7890000000383;ROUND DEMI    DEMI WITH QID  - S+    525    cc;1
39;7890000000390;ROUND DEMI    DEMI WITH QID  - S+    575    cc;1
40;7890000000406;ROUND DEMI    DEMI WITH QID  - S+    625    cc;1
41;7890000000413;ROUND FULL    FULL WITH QID  - S+    145    cc;1
42;7890000000420;ROUND FULL    FULL WITH QID  - S+    175    cc;1
43;7890000000437;ROUND FULL    FULL WITH QID  - S+    205    cc;1
44;7890000000444;ROUND FULL    FULL WITH QID  - S+    220    cc;1
45;7890000000451;ROUND FULL    FULL WITH QID  - S+    235    cc;1
46;7890000000468;ROUND FULL    FULL WITH QID  - S+    255    cc;1
47;7890000000475;ROUND FULL    FULL WITH QID  - S+    275    cc;1
48;7890000000482;ROUND FULL    FULL WITH QID  - S+    295    cc;1
49;7890000000499;ROUND FULL    FULL WITH QID  - S+    315    cc;1
50;7890000000505;ROUND FULL    FULL WITH QID  - S+    335    cc;1
51;7890000000512;ROUND FULL    FULL WITH QID  - S+    355    cc;1
52;7890000000529;ROUND FULL    FULL WITH QID  - S+    375    cc;1
53;7890000000536;ROUND FULL    FULL WITH QID  - S+    400    cc;1
54;7890000000543;ROUND FULL    FULL WITH QID  - S+    425    cc;1
55;7890000000550;ROUND FULL    FULL WITH QID  - S+    450    cc;1
56;7890000000567;ROUND FULL    FULL WITH QID  - S+    500    cc;1
57;7890000000574;ROUND FULL    FULL WITH QID  - S+    550    cc;1
58;7890000000581;ROUND FULL    FULL WITH QID  - S+    625    cc;1
59;7890000000598;ROUND FULL    FULL WITH QID  - S+    700    cc;1
60;7890000000604;ROUND FULL    FULL WITH QID  - S+    775    cc;1
61;7890000000611;ROUND MINI    MINI WITH QID  - S+    105    cc;1
62;7890000000628;ROUND MINI    MINI WITH QID  - S+    125    cc;1
63;7890000000635;ROUND MINI    MINI WITH QID  - S+    140    cc;1
64;7890000000642;ROUND MINI    MINI WITH QID  - S+    150    cc;1
65;7890000000659;ROUND MINI    MINI WITH QID  - S+    160    cc;1
66;7890000000666;ROUND MINI    MINI WITH QID  - S+    170    cc;1
67;7890000000673;ROUND MINI    MINI WITH QID  - S+    185    cc;1
68;7890000000680;ROUND MINI    MINI WITH QID  - S+    205    cc;1
69;7890000000697;ROUND MINI    MINI WITH QID  - S+    220    cc;1
70;7890000000703;ROUND MINI    MINI WITH QID  - S+    230    cc;1
71;7890000000710;ROUND MINI    MINI WITH QID  - S+    245    cc;1
72;7890000000727;ROUND MINI    MINI WITH QID  - S+    260    cc;1
73;7890000000734;ROUND MINI    MINI WITH QID  - S+    275    cc;1
74;7890000000741;ROUND MINI    MINI WITH QID  - S+    290    cc;1
75;7890000000758;ROUND MINI    MINI WITH QID  - S+    310    cc;1
76;7890000000765;ROUND MINI    MINI WITH QID  - S+    360    cc;1
77;7890000000772;ROUND MINI    MINI WITH QID  - S+    400    cc;1
78;7890000000789;ROUND MINI    MINI WITH QID  - S+    430    cc;1
79;7890000000796;ROUND MINI    MINI WITH QID  - S+    475    cc;1
80;7890000000802;ROUND MINI    MINI WITH QID  - S+    525    cc;1
81;7890000000819;ERGONOMIX CORSE    CORSE WITH QID - S    1050    cc;1
82;7890000000826;ERGONOMIX CORSE    CORSE WITH QID - S    180    cc;1
83;7890000000833;ERGONOMIX CORSE    CORSE WITH QID - S    210    cc;1
84;7890000000840;ERGONOMIX CORSE    CORSE WITH QID - S    240    cc;1
85;7890000000857;ERGONOMIX CORSE    CORSE WITH QID - S    260    cc;1
86;7890000000864;ERGONOMIX CORSE    CORSE WITH QID - S    280    cc;1
87;7890000000871;ERGONOMIX CORSE    CORSE WITH QID - S    300    cc;1
88;7890000000888;ERGONOMIX CORSE    CORSE WITH QID - S    325    cc;1
89;7890000000895;ERGONOMIX CORSE    CORSE WITH QID - S    350    cc;1
90;7890000000901;ERGONOMIX CORSE    CORSE WITH QID - S    380    cc;1
91;7890000000918;ERGONOMIX CORSE    CORSE WITH QID - S    410    cc;1
92;7890000000925;ERGONOMIX CORSE    CORSE WITH QID - S    440    cc;1
93;7890000000932;ERGONOMIX CORSE    CORSE WITH QID - S    475    cc;1
94;7890000000949;ERGONOMIX CORSE    CORSE WITH QID - S    510    cc;1
95;7890000000956;ERGONOMIX CORSE    CORSE WITH QID - S    550    cc;1
96;7890000000963;ERGONOMIX CORSE    CORSE WITH QID - S    590    cc;1
97;7890000000970;ERGONOMIX CORSE    CORSE WITH QID - S    650    cc;1
98;7890000000987;ERGONOMIX CORSE    CORSE WITH QID - S    725    cc;1
99;7890000000994;ERGONOMIX CORSE    CORSE WITH QID - S    825    cc;1
100;7890000001007;ERGONOMIX CORSE    CORSE WITH QID - S    925    cc;1
101;7890000001014;ERGONOMIX DEMI    DEMI WITH QID  - S    135    cc;1
102;7890000001021;ERGONOMIX DEMI    DEMI WITH QID  - S    155    cc;1
103;7890000001038;ERGONOMIX DEMI    DEMI WITH QID  - S    180    cc;1
104;7890000001045;ERGONOMIX DEMI    DEMI WITH QID  - S    190    cc;1
105;7890000001052;ERGONOMIX DEMI    DEMI WITH QID  - S    205    cc;1
106;7890000001069;ERGONOMIX DEMI    DEMI WITH QID  - S    215    cc;1
107;7890000001076;ERGONOMIX DEMI    DEMI WITH QID  - S    230    cc;1
108;7890000001083;ERGONOMIX DEMI    DEMI WITH QID  - S    245    cc;1
109;7890000001090;ERGONOMIX DEMI    DEMI WITH QID  - S    265    cc;1
110;7890000001106;ERGONOMIX DEMI    DEMI WITH QID  - S    285    cc;1
111;7890000001113;ERGONOMIX DEMI    DEMI WITH QID  - S    300    cc;1
112;7890000001120;ERGONOMIX DEMI    DEMI WITH QID  - S    320    cc;1
113;7890000001137;ERGONOMIX DEMI    DEMI WITH QID  - S    340    cc;1
114;7890000001144;ERGONOMIX DEMI    DEMI WITH QID  - S    360    cc;1
115;7890000001151;ERGONOMIX DEMI    DEMI WITH QID  - S    380    cc;1
116;7890000001168;ERGONOMIX DEMI    DEMI WITH QID  - S    425    cc;1
117;7890000001175;ERGONOMIX DEMI    DEMI WITH QID  - S    425    cc;1
118;7890000001182;ERGONOMIX DEMI    DEMI WITH QID  - S    525    cc;1
119;7890000001199;ERGONOMIX DEMI    DEMI WITH QID  - S    575    cc;1
120;7890000001205;ERGONOMIX DEMI    DEMI WITH QID  - S    625    cc;1
121;7890000001212;ERGONOMIX FULL    FULL WITH QID - S    145    cc;1
122;7890000001229;ERGONOMIX FULL    FULL WITH QID - S    175    cc;1
123;7890000001236;ERGONOMIX FULL    FULL WITH QID - S    205    cc;1
124;7890000001243;ERGONOMIX FULL    FULL WITH QID - S    220    cc;1
125;7890000001250;ERGONOMIX FULL    FULL WITH QID - S    235    cc;1
126;7890000001267;ERGONOMIX FULL    FULL WITH QID - S    255    cc;1
127;7890000001274;ERGONOMIX FULL    FULL WITH QID - S    275    cc;1
128;7890000001281;ERGONOMIX FULL    FULL WITH QID - S    295    cc;1
129;7890000001298;ERGONOMIX FULL    FULL WITH QID - S    315    cc;1
130;7890000001304;ERGONOMIX FULL    FULL WITH QID - S    335    cc;1
131;7890000001311;ERGONOMIX FULL    FULL WITH QID - S    355    cc;1
132;7890000001328;ERGONOMIX FULL    FULL WITH QID - S    375    cc;1
133;7890000001335;ERGONOMIX FULL    FULL WITH QID - S    400    cc;1
134;7890000001342;ERGONOMIX FULL    FULL WITH QID - S    425    cc;1
135;7890000001359;ERGONOMIX FULL    FULL WITH QID - S    450    cc;1
136;7890000001366;ERGONOMIX FULL    FULL WITH QID - S    500    cc;1
137;7890000001373;ERGONOMIX FULL    FULL WITH QID - S    550    cc;1
138;7890000001380;ERGONOMIX FULL    FULL WITH QID - S    625    cc;1
139;7890000001397;ERGONOMIX FULL    FULL WITH QID - S    700    cc;1
140;7890000001403;ERGONOMIX FULL    FULL WITH QID - S    775    cc;1
141;7890000001410;ERGONOMIX MINI    MINI WITH QID - S    105    cc;1
142;7890000001427;ERGONOMIX MINI    MINI WITH QID - S    125    cc;1
143;7890000001434;ERGONOMIX MINI    MINI WITH QID - S    140    cc;1
144;7890000001441;ERGONOMIX MINI    MINI WITH QID - S    150    cc;1
145;7890000001458;ERGONOMIX MINI    MINI WITH QID - S    160    cc;1
146;7890000001465;ERGONOMIX MINI    MINI WITH QID - S    170    cc;1
147;7890000001472;ERGONOMIX MINI    MINI WITH QID - S    185    cc;1
148;7890000001489;ERGONOMIX MINI    MINI WITH QID - S    205    cc;1
149;7890000001496;ERGONOMIX MINI    MINI WITH QID - S    220    cc;1
150;7890000001502;ERGONOMIX MINI    MINI WITH QID - S    230    cc;1
151;7890000001519;ERGONOMIX MINI    MINI WITH QID - S    245    cc;1
152;7890000001526;ERGONOMIX MINI    MINI WITH QID - S    260    cc;1
153;7890000001533;ERGONOMIX MINI    MINI WITH QID - S    275    cc;1
154;7890000001540;ERGONOMIX MINI    MINI WITH QID - S    290    cc;1
155;7890000001557;ERGONOMIX MINI    MINI WITH QID - S    310    cc;1
156;7890000001564;ERGONOMIX MINI    MINI WITH QID - S    360    cc;1
157;7890000001571;ERGONOMIX MINI    MINI WITH QID - S    400    cc;1
158;7890000001588;ERGONOMIX MINI    MINI WITH QID - S    430    cc;1
159;7890000001595;ERGONOMIX MINI    MINI WITH QID - S    475    cc;1
160;7890000001601;ERGONOMIX MINI    MINI WITH QID - S    525    cc;1
161;7890000001618;SAMPLE ROUND CORSE    CORSE - SS    1050    cc;1
162;7890000001625;SAMPLE ROUND CORSE    CORSE - SS+    1050    cc;1
163;7890000001632;SAMPLE ROUND CORSE    CORSE - SS    180    cc;1
164;7890000001649;SAMPLE ROUND CORSE    CORSE - SS+    180    cc;1
165;7890000001656;SAMPLE ROUND CORSE    CORSE - SS    210    cc;1
166;7890000001663;SAMPLE ROUND CORSE    CORSE - SS+    210    cc;1
167;7890000001670;SAMPLE ROUND CORSE    CORSE - SS    240    cc;1
168;7890000001687;SAMPLE ROUND CORSE    CORSE - SS+    240    cc;1
169;7890000001694;SAMPLE ROUND CORSE    CORSE - SS    260    cc;1
170;7890000001700;SAMPLE ROUND CORSE    CORSE - SS+    260    cc;1
171;7890000001717;SAMPLE ROUND CORSE    CORSE - SS    280    cc;1
172;7890000001724;SAMPLE ROUND CORSE    CORSE - SS+    280    cc;1
173;7890000001731;SAMPLE ROUND CORSE    CORSE - SS    300    cc;1
174;7890000001748;SAMPLE ROUND CORSE    CORSE - SS+    300    cc;1
175;7890000001755;SAMPLE ROUND CORSE    CORSE - SS    325    cc;1
176;7890000001762;SAMPLE ROUND CORSE    CORSE - SS+    325    cc;1
177;7890000001779;SAMPLE ROUND CORSE    CORSE - SS    350    cc;1
178;7890000001786;SAMPLE ROUND CORSE    CORSE - SS+    350    cc;1
179;7890000001793;SAMPLE ROUND CORSE    CORSE - SS    380    cc;1
180;7890000001809;SAMPLE ROUND CORSE    CORSE - SS+    380    cc;1
181;7890000001816;SAMPLE ROUND CORSE    CORSE - SS    410    cc;1
182;7890000001823;SAMPLE ROUND CORSE    CORSE - SS+    410    cc;1
183;7890000001830;SAMPLE ROUND CORSE    CORSE - SS    440    cc;1
184;7890000001847;SAMPLE ROUND CORSE    CORSE - SS+    440    cc;1
185;7890000001854;SAMPLE ROUND CORSE    CORSE - SS    475    cc;1
186;7890000001861;SAMPLE ROUND CORSE    CORSE - SS+    475    cc;1
187;7890000001878;SAMPLE ROUND CORSE    CORSE - SS    510    cc;1
188;7890000001885;SAMPLE ROUND CORSE    CORSE - SS+    510    cc;1
189;7890000001892;SAMPLE ROUND CORSE    CORSE - SS    550    cc;1
190;7890000001908;SAMPLE ROUND CORSE    CORSE - SS+    550    cc;1
191;7890000001915;SAMPLE ROUND CORSE    CORSE - SS    590    cc;1
192;7890000001922;SAMPLE ROUND CORSE    CORSE - SS+    590    cc;1
193;7890000001939;SAMPLE ROUND CORSE    CORSE - SS    650    cc;1
194;7890000001946;SAMPLE ROUND CORSE    CORSE - SS+    650    cc;1
195;7890000001953;SAMPLE ROUND CORSE    CORSE - SS    725    cc;1
196;7890000001960;SAMPLE ROUND CORSE    CORSE - SS+    725    cc;1
197;7890000001977;SAMPLE ROUND CORSE    CORSE - SS    825    cc;1
